Date,Open,High,Low,Close,Volume
7-Oct-14,8.60,8.79,8.60,8.69,0
6-Oct-14,8.70,8.88,8.52,8.56,1203370
3-Oct-14,7.79,8.55,7.71,8.48,1848043
2-Oct-14,8.20,8.20,7.39,7.80,3122786
1-Oct-14,9.65,9.67,8.63,8.63,2311961
30-Sep-14,9.95,9.95,9.53,9.58,1299514
29-Sep-14,9.55,9.89,9.45,9.83,1598298
26-Sep-14,9.20,9.53,9.10,9.49,1351693
25-Sep-14,8.85,9.05,8.85,9.04,1443045
24-Sep-14,8.38,8.85,8.35,8.79,1726079
23-Sep-14,8.40,8.40,8.12,8.24,1509791
22-Sep-14,7.88,8.03,7.76,8.03,1149663
19-Sep-14,7.63,7.70,7.57,7.66,1389629
18-Sep-14,7.46,7.57,7.38,7.55,746019
17-Sep-14,7.45,7.47,7.33,7.46,1179456
16-Sep-14,7.30,7.45,7.24,7.45,1603946
15-Sep-14,7.29,7.40,7.20,7.27,1704354
12-Sep-14,7.30,7.37,7.22,7.28,2102940
11-Sep-14,7.00,7.17,6.95,7.10,1610800
10-Sep-14,6.75,7.00,6.75,6.89,1212144
9-Sep-14,6.70,6.80,6.63,6.73,1978639
8-Sep-14,6.30,6.65,6.30,6.61,1814008
5-Sep-14,6.06,6.26,6.03,6.24,1952624
4-Sep-14,6.40,6.40,6.02,6.05,1853874
3-Sep-14,6.25,6.45,6.25,6.35,1913789
2-Sep-14,6.00,6.29,5.95,6.18,1761804
1-Sep-14,5.64,5.92,5.64,5.87,1065446
29-Aug-14,5.65,5.77,5.64,5.69,966275
28-Aug-14,5.43,5.64,5.31,5.64,1340893
27-Aug-14,5.24,5.49,5.24,5.43,1484736
26-Aug-14,5.01,5.24,4.96,5.23,1011361
25-Aug-14,4.97,5.08,4.97,5.01,1744104
22-Aug-14,4.78,4.97,4.78,4.95,2885008
21-Aug-14,4.51,4.81,4.45,4.78,1141050
20-Aug-14,4.30,4.51,4.27,4.51,829229
19-Aug-14,4.25,4.32,4.20,4.32,388347
15-Aug-14,4.15,4.26,4.15,4.23,303739
14-Aug-14,4.24,4.24,4.15,4.15,296659
13-Aug-14,4.10,4.24,4.10,4.24,517560
12-Aug-14,4.05,4.17,4.05,4.10,386986
11-Aug-14,4.12,4.12,3.98,4.09,96989
8-Aug-14,4.12,4.16,4.10,4.12,132322
7-Aug-14,4.08,4.19,4.08,4.16,299847
6-Aug-14,4.05,4.08,4.00,4.08,373821
5-Aug-14,4.01,4.15,4.01,4.07,338395
4-Aug-14,4.10,4.13,4.02,4.11,222757
1-Aug-14,3.90,4.10,3.75,4.05,613685
31-Jul-14,3.90,4.00,3.85,3.90,588240
30-Jul-14,4.18,4.27,4.12,4.20,758851
29-Jul-14,3.78,3.99,3.73,3.99,507644
28-Jul-14,3.82,3.85,3.71,3.74,321167
25-Jul-14,3.96,4.00,3.83,3.88,355353
24-Jul-14,4.10,4.10,3.98,4.00,155968
23-Jul-14,4.10,4.10,4.00,4.00,335630
22-Jul-14,4.15,4.17,4.05,4.14,184094
21-Jul-14,4.25,4.25,4.16,4.17,148008
18-Jul-14,4.33,4.33,4.20,4.31,255757
17-Jul-14,4.30,4.33,4.23,4.23,264941
16-Jul-14,4.30,4.32,4.22,4.32,204626
15-Jul-14,4.36,4.37,4.21,4.32,388201
14-Jul-14,4.32,4.36,4.27,4.32,381008
11-Jul-14,4.37,4.40,4.30,4.32,259533
10-Jul-14,4.35,4.39,4.32,4.39,716666
8-Jul-14,4.25,4.34,4.20,4.32,407552
7-Jul-14,4.27,4.27,4.19,4.20,166006
4-Jul-14,4.20,4.23,4.18,4.23,123060
3-Jul-14,4.18,4.25,4.18,4.23,272853
2-Jul-14,4.17,4.20,4.15,4.20,296614
1-Jul-14,4.15,4.17,4.10,4.17,264965
30-Jun-14,4.10,4.12,4.05,4.09,60663
27-Jun-14,4.00,4.10,3.90,4.10,269410
26-Jun-14,4.12,4.12,3.99,4.00,242495
25-Jun-14,4.10,4.16,4.10,4.16,159860
24-Jun-14,4.14,4.17,4.11,4.15,432516
23-Jun-14,4.13,4.16,4.07,4.14,670285
19-Jun-14,4.00,4.03,3.88,3.90,779007
18-Jun-14,4.00,4.15,3.97,4.13,425566
17-Jun-14,4.00,4.20,3.85,4.04,1157743
16-Jun-14,4.19,4.19,4.01,4.02,971152
13-Jun-14,4.35,4.44,4.34,4.40,606657
12-Jun-14,4.25,4.45,4.20,4.37,1148405
11-Jun-14,4.11,4.25,4.11,4.24,748155
10-Jun-14,4.15,4.19,4.11,4.11,883529
9-Jun-14,4.09,4.16,4.06,4.15,570300
6-Jun-14,4.10,4.12,4.06,4.09,216868
5-Jun-14,4.08,4.12,4.06,4.12,277937
