Date,Open,High,Low,Close,Volume
7-Oct-14,114.90,120.50,114.50,119.50,0
6-Oct-14,116.00,117.80,110.00,110.00,267067
3-Oct-14,97.00,105.00,93.00,104.20,335001
2-Oct-14,98.00,106.75,92.00,96.00,361327
1-Oct-14,105.90,106.60,97.20,97.20,419796
30-Sep-14,106.90,109.00,105.50,108.00,499802
29-Sep-14,109.50,113.00,109.50,110.80,580256
26-Sep-14,115.80,121.90,115.80,121.00,167956
25-Sep-14,117.00,117.00,112.95,114.00,168493
24-Sep-14,116.00,118.00,114.50,117.40,216032
23-Sep-14,121.00,121.00,114.55,115.65,301201
22-Sep-14,112.50,120.00,111.10,120.00,242293
19-Sep-14,117.80,118.50,116.00,116.75,183353
18-Sep-14,117.40,119.35,116.50,118.00,134514
17-Sep-14,122.50,122.50,119.00,120.95,224562
16-Sep-14,113.95,120.45,113.95,118.90,326272
15-Sep-14,112.05,112.95,109.50,111.60,205152
12-Sep-14,115.10,115.50,108.00,110.60,544328
11-Sep-14,118.00,120.50,117.00,118.60,158826
10-Sep-14,119.00,119.00,114.80,116.50,398330
9-Sep-14,123.00,125.00,119.00,120.90,187234
8-Sep-14,123.75,129.00,121.50,122.15,251964
5-Sep-14,125.90,127.20,121.00,127.20,118825
4-Sep-14,128.00,128.00,122.00,122.50,220404
3-Sep-14,136.00,136.00,129.00,131.35,186099
2-Sep-14,131.50,137.00,128.00,135.20,282249
1-Sep-14,129.00,135.00,129.00,132.85,96453
29-Aug-14,125.00,128.00,123.00,127.10,174411
28-Aug-14,125.00,125.00,121.25,123.50,85512
27-Aug-14,117.95,124.30,117.00,124.00,178778
26-Aug-14,113.35,115.00,112.00,115.00,262466
25-Aug-14,107.05,111.30,107.05,111.05,161847
22-Aug-14,107.10,107.10,103.60,105.40,129182
21-Aug-14,108.95,108.95,107.40,108.75,96607
20-Aug-14,102.60,108.90,102.50,108.90,220274
19-Aug-14,97.55,102.00,97.55,101.00,149145
15-Aug-14,92.00,96.45,92.00,96.30,217193
14-Aug-14,88.50,90.10,87.05,89.90,79133
13-Aug-14,89.70,94.00,87.00,88.00,143073
12-Aug-14,87.50,90.00,87.50,90.00,116324
11-Aug-14,84.00,87.60,83.60,87.60,76133
8-Aug-14,83.00,84.30,82.25,83.50,37167
7-Aug-14,86.00,86.00,84.00,85.00,27850
6-Aug-14,84.00,86.50,84.00,85.95,80143
5-Aug-14,82.60,84.95,82.60,84.30,141555
4-Aug-14,81.00,82.90,80.50,82.50,46462
1-Aug-14,80.00,81.00,78.10,80.90,70390
31-Jul-14,81.55,82.55,79.90,79.90,73440
30-Jul-14,84.20,84.80,82.00,84.00,88899
29-Jul-14,84.50,84.80,83.50,84.20,58396
28-Jul-14,83.75,85.00,82.00,85.00,57880
25-Jul-14,83.40,85.20,83.00,83.90,76533
24-Jul-14,84.00,84.10,82.50,83.40,51955
23-Jul-14,87.30,87.30,83.00,84.20,55481
22-Jul-14,86.00,87.40,85.00,87.40,198040
21-Jul-14,83.00,86.25,82.90,85.90,191983
18-Jul-14,83.00,85.00,83.00,83.50,176179
17-Jul-14,80.90,82.20,79.55,80.00,106173
16-Jul-14,79.90,80.45,79.50,80.45,34421
15-Jul-14,79.50,80.00,78.00,79.90,68169
14-Jul-14,76.55,80.00,76.55,79.90,138996
11-Jul-14,75.00,76.00,74.95,75.00,50591
10-Jul-14,75.00,75.70,74.80,75.70,87330
8-Jul-14,73.50,73.85,73.00,73.50,87821
7-Jul-14,74.90,74.90,73.10,73.30,82178
4-Jul-14,73.55,75.25,73.55,75.25,6689
3-Jul-14,73.50,74.85,73.20,74.50,35735
2-Jul-14,75.00,75.00,73.00,73.50,48879
1-Jul-14,75.00,76.00,73.50,74.10,86836
30-Jun-14,75.25,75.50,73.90,74.90,51089
27-Jun-14,75.00,75.60,73.60,75.50,42634
26-Jun-14,75.00,75.80,73.90,75.00,79514
25-Jun-14,78.00,78.00,73.95,74.80,150550
24-Jun-14,79.10,81.50,75.50,77.00,79856
23-Jun-14,81.60,81.60,78.10,79.00,152123
19-Jun-14,82.10,83.00,80.70,80.70,95936
18-Jun-14,81.90,85.15,81.90,84.40,192300
17-Jun-14,79.00,83.00,77.50,82.30,257347
16-Jun-14,83.50,84.30,80.50,80.60,256307
13-Jun-14,81.70,83.25,81.50,82.70,81334
12-Jun-14,82.00,82.90,81.00,81.70,38162
11-Jun-14,80.00,83.50,80.00,82.45,170301
10-Jun-14,80.25,82.00,79.65,79.65,118021
9-Jun-14,78.00,80.45,76.00,80.20,124657
6-Jun-14,74.15,78.00,74.15,78.00,93139
5-Jun-14,72.75,74.00,71.80,72.10,31043
4-Jun-14,74.35,74.80,72.20,72.30,59240
3-Jun-14,74.00,76.50,74.00,74.30,71943
2-Jun-14,76.70,76.70,73.40,74.20,104640
30-May-14,79.00,79.00,76.55,76.80,98474
29-May-14,82.40,82.50,79.95,79.95,68517
28-May-14,82.90,83.70,81.00,82.50,75385
27-May-14,81.60,82.20,80.00,81.50,117915
26-May-14,80.30,82.20,80.30,81.50,33752
23-May-14,80.60,81.50,79.80,80.50,63958
22-May-14,81.00,81.50,79.55,80.60,89876
21-May-14,80.10,82.40,79.00,81.00,77741
20-May-14,80.00,84.00,79.00,80.00,116808
19-May-14,77.50,82.00,77.50,81.00,83529
16-May-14,76.90,78.80,76.30,77.50,104331
15-May-14,75.50,76.50,74.50,76.00,55695
14-May-14,74.50,76.70,74.50,76.20,146411
13-May-14,74.00,76.10,74.00,75.00,62136
12-May-14,72.50,73.80,72.50,73.75,67726
9-May-14,72.15,74.40,72.00,72.05,97235
8-May-14,74.00,74.50,72.00,72.15,164203
7-May-14,74.65,75.60,73.30,74.30,110903
6-May-14,71.50,76.60,71.50,74.50,227724
5-May-14,71.15,72.20,70.60,71.10,55902
30-Apr-14,70.60,70.60,68.55,69.20,18866
29-Apr-14,70.10,72.00,69.90,70.25,120550
28-Apr-14,65.20,69.20,64.50,69.00,91850
25-Apr-14,65.70,65.70,64.50,65.20,14988
24-Apr-14,66.00,67.00,65.50,66.20,39807
23-Apr-14,66.00,66.50,64.70,66.25,61721
22-Apr-14,67.00,67.00,65.30,66.00,34378
21-Apr-14,65.10,67.20,65.10,67.00,39749
16-Apr-14,63.50,65.40,63.50,65.10,21146
15-Apr-14,64.50,64.50,62.40,63.60,139779
14-Apr-14,67.30,67.50,65.30,65.30,19720
11-Apr-14,65.00,67.70,65.00,67.00,88811
10-Apr-14,66.10,66.40,65.00,65.00,35020
9-Apr-14,65.00,66.50,64.55,65.50,119330
8-Apr-14,69.00,69.90,65.80,67.00,174776
