Date,Open,High,Low,Close,Volume
7-Oct-14,7.30,7.44,7.29,7.36,0
6-Oct-14,8.00,8.00,7.30,7.30,399173
3-Oct-14,7.20,7.89,7.10,7.88,737758
2-Oct-14,7.60,7.60,6.80,7.20,1239836
1-Oct-14,8.50,8.50,7.80,7.95,1865990
30-Sep-14,7.95,8.61,7.70,8.50,2121216
29-Sep-14,8.13,8.15,8.00,8.03,832227
26-Sep-14,8.20,8.30,8.08,8.17,1107445
25-Sep-14,8.38,8.38,8.10,8.12,1377933
24-Sep-14,8.60,8.60,8.24,8.48,1824773
23-Sep-14,8.80,8.80,8.50,8.60,576527
22-Sep-14,8.45,8.70,8.35,8.70,725065
19-Sep-14,8.45,8.68,8.36,8.45,330421
18-Sep-14,8.46,8.56,8.27,8.45,398725
17-Sep-14,8.50,8.60,8.30,8.45,552033
16-Sep-14,8.00,8.60,8.00,8.45,1471039
15-Sep-14,8.14,8.27,7.89,7.93,947426
12-Sep-14,7.83,8.15,7.83,8.11,1295115
11-Sep-14,7.65,7.87,7.65,7.77,1002397
10-Sep-14,7.53,7.70,7.45,7.63,909977
9-Sep-14,7.68,7.70,7.50,7.53,884080
8-Sep-14,7.56,7.77,7.50,7.70,1452549
5-Sep-14,7.30,7.46,7.12,7.44,1250124
4-Sep-14,7.42,7.43,7.10,7.30,1058903
3-Sep-14,6.85,7.42,6.85,7.40,2607366
2-Sep-14,6.82,6.93,6.78,6.80,730846
1-Sep-14,6.77,6.90,6.71,6.82,349450
29-Aug-14,6.80,6.90,6.70,6.78,1704939
28-Aug-14,7.14,7.14,6.70,6.80,1938600
27-Aug-14,6.95,7.15,6.76,6.94,2032533
26-Aug-14,7.17,7.24,7.05,7.06,514143
25-Aug-14,7.22,7.22,7.09,7.17,659565
22-Aug-14,6.89,7.10,6.85,7.09,1986594
21-Aug-14,7.03,7.15,6.87,7.01,1056360
20-Aug-14,7.09,7.14,7.01,7.03,1209095
19-Aug-14,7.45,7.45,7.21,7.21,470392
15-Aug-14,7.10,7.25,7.07,7.20,1110198
14-Aug-14,7.45,7.45,7.05,7.07,1181604
13-Aug-14,7.45,7.58,7.39,7.50,551301
12-Aug-14,7.38,7.55,7.31,7.50,424224
11-Aug-14,7.50,7.52,7.35,7.38,536040
8-Aug-14,7.51,7.51,7.20,7.30,595008
7-Aug-14,7.49,7.50,7.30,7.40,661569
6-Aug-14,7.18,7.40,7.10,7.22,724114
5-Aug-14,7.60,7.60,7.05,7.19,1049407
4-Aug-14,7.50,7.64,7.40,7.57,1030739
1-Aug-14,7.29,7.60,6.80,7.50,2047593
31-Jul-14,6.90,7.40,6.90,7.20,4104759
30-Jul-14,8.00,8.02,7.60,8.00,3287417
29-Jul-14,6.54,6.98,6.40,6.98,1091599
28-Jul-14,6.59,6.69,6.16,6.35,1791705
25-Jul-14,7.00,7.00,6.57,6.63,1684543
24-Jul-14,7.12,7.16,6.80,7.00,1705124
23-Jul-14,6.78,6.83,6.57,6.75,1730825
22-Jul-14,7.20,7.40,6.50,6.80,2328676
21-Jul-14,7.35,7.35,6.98,7.10,1264276
18-Jul-14,7.07,7.50,7.07,7.42,2363265
17-Jul-14,7.36,7.36,6.77,6.82,1964628
16-Jul-14,7.90,7.90,7.40,7.48,1544668
15-Jul-14,8.25,8.25,7.75,7.93,891543
14-Jul-14,8.00,8.34,7.95,8.18,2044581
11-Jul-14,7.54,8.05,7.51,7.95,1979183
10-Jul-14,7.30,7.70,7.20,7.54,1370694
8-Jul-14,6.84,6.90,6.84,6.84,719689
7-Jul-14,6.62,6.85,6.45,6.77,833962
4-Jul-14,6.70,6.70,6.45,6.60,680582
3-Jul-14,6.90,6.95,6.53,6.65,632774
2-Jul-14,6.87,6.99,6.82,6.83,1291630
1-Jul-14,6.85,6.85,6.65,6.71,1599130
30-Jun-14,6.20,6.40,6.15,6.24,1957248
27-Jun-14,5.75,6.03,5.50,5.96,1271815
