Date,Open,High,Low,Close,Volume
16-Oct-14,5.96,6.24,5.90,6.23,2458454
15-Oct-14,5.91,6.00,5.78,5.97,1918215
14-Oct-14,6.21,6.21,6.05,6.07,1526411
10-Oct-14,6.19,6.27,6.10,6.21,2144297
9-Oct-14,6.50,6.50,6.15,6.22,2636828
8-Oct-14,6.58,6.64,6.50,6.56,1354629
7-Oct-14,6.50,6.67,6.50,6.54,1756657
6-Oct-14,6.89,6.94,6.50,6.50,3584826
3-Oct-14,5.86,6.70,5.86,6.60,2958658
2-Oct-14,6.20,6.20,5.75,6.00,6761676
1-Oct-14,7.14,7.15,6.43,6.45,5730984
30-Sep-14,7.30,7.33,7.08,7.14,4145068
29-Sep-14,7.20,7.33,7.10,7.30,5700521
26-Sep-14,6.90,7.15,6.84,7.13,4178513
25-Sep-14,6.95,7.00,6.78,6.84,4064735
24-Sep-14,6.29,6.75,6.20,6.68,3644691
23-Sep-14,5.90,6.13,5.85,6.10,2430408
22-Sep-14,5.59,5.90,5.57,5.89,2109016
19-Sep-14,5.59,5.62,5.50,5.57,3102348
18-Sep-14,5.45,5.65,5.40,5.52,2982044
17-Sep-14,5.50,5.53,5.43,5.50,2847149
16-Sep-14,5.25,5.49,5.24,5.47,4200473
15-Sep-14,5.30,5.30,5.13,5.17,2193619
12-Sep-14,5.30,5.38,5.25,5.26,3443782
11-Sep-14,5.26,5.45,5.22,5.36,3579893
10-Sep-14,5.30,5.40,5.19,5.24,2311210
9-Sep-14,5.30,5.30,5.19,5.23,2550532
8-Sep-14,5.10,5.36,5.10,5.29,2373175
5-Sep-14,5.00,5.13,5.00,5.09,1915370
4-Sep-14,5.15,5.15,4.95,4.98,1530881
3-Sep-14,5.13,5.19,5.10,5.15,3386079
2-Sep-14,4.99,5.10,4.90,5.08,4778385
1-Sep-14,4.88,4.99,4.85,4.95,1354051
29-Aug-14,4.90,4.94,4.85,4.88,2147034
28-Aug-14,4.88,4.88,4.69,4.86,1820856
27-Aug-14,4.82,4.98,4.79,4.80,4585781
26-Aug-14,4.70,4.82,4.62,4.80,2167371
25-Aug-14,4.71,4.82,4.65,4.70,3146768
22-Aug-14,4.44,4.72,4.44,4.72,5015471
21-Aug-14,4.22,4.44,4.20,4.44,3540253
20-Aug-14,4.07,4.25,3.98,4.24,2002793
19-Aug-14,4.06,4.12,4.04,4.11,1945915
15-Aug-14,3.92,4.04,3.90,4.04,1848455
14-Aug-14,3.99,3.99,3.92,3.92,986815
13-Aug-14,3.96,4.04,3.95,4.01,1877036
12-Aug-14,3.73,3.94,3.71,3.94,1375430
11-Aug-14,3.75,3.76,3.70,3.76,583137
8-Aug-14,3.77,3.77,3.70,3.73,1122717
7-Aug-14,3.78,3.82,3.68,3.77,1658114
6-Aug-14,3.73,3.80,3.68,3.77,998590
5-Aug-14,3.78,3.78,3.65,3.72,1361994
4-Aug-14,3.85,3.85,3.71,3.78,452945
1-Aug-14,3.65,3.81,3.56,3.79,956269
31-Jul-14,3.70,3.87,3.68,3.71,1915214
30-Jul-14,4.05,4.08,3.97,4.05,3330993
29-Jul-14,3.62,3.80,3.54,3.80,1347534
28-Jul-14,3.49,3.65,3.38,3.58,1031012
25-Jul-14,3.65,3.66,3.50,3.53,1278391
