Date,Open,High,Low,Close,Volume
7-Oct-14,12.10,12.10,11.85,11.88,0
6-Oct-14,12.53,12.65,11.96,12.03,625014
3-Oct-14,12.64,13.07,12.26,12.38,1017520
2-Oct-14,13.32,13.32,12.48,12.71,1254959
1-Oct-14,14.13,14.24,13.40,13.50,612554
30-Sep-14,13.99,14.31,13.85,14.21,359881
29-Sep-14,13.92,14.27,13.79,14.03,275986
26-Sep-14,13.83,14.30,13.51,14.22,235292
25-Sep-14,14.12,14.12,13.72,13.79,238833
24-Sep-14,14.09,14.38,13.73,14.21,318705
23-Sep-14,14.29,14.60,13.97,14.08,300766
22-Sep-14,14.15,14.41,13.90,14.36,427407
19-Sep-14,14.59,14.61,14.11,14.24,454276
18-Sep-14,14.76,14.97,14.50,14.64,326570
17-Sep-14,15.08,15.17,14.66,14.84,313076
16-Sep-14,14.52,15.17,14.32,15.13,623491
15-Sep-14,14.69,14.83,14.41,14.54,503766
12-Sep-14,14.15,14.95,14.08,14.74,711989
11-Sep-14,14.05,14.48,13.98,14.37,649114
10-Sep-14,13.54,14.18,13.54,14.06,774339
9-Sep-14,13.40,13.71,13.18,13.71,254504
8-Sep-14,13.61,13.97,13.55,13.57,830447
5-Sep-14,13.26,13.82,13.17,13.66,519748
4-Sep-14,13.46,13.76,13.09,13.25,558855
3-Sep-14,12.86,13.65,12.75,13.52,965986
2-Sep-14,12.72,12.79,12.42,12.75,525051
29-Aug-14,12.66,12.77,12.41,12.68,579361
28-Aug-14,12.56,12.85,12.46,12.59,595346
27-Aug-14,12.40,12.69,12.31,12.56,611728
26-Aug-14,12.82,12.94,12.35,12.58,398569
25-Aug-14,12.65,13.28,12.65,12.76,542233
22-Aug-14,12.29,12.82,12.23,12.76,448929
21-Aug-14,12.36,12.60,12.18,12.34,601246
20-Aug-14,12.64,12.78,12.21,12.43,785702
19-Aug-14,13.19,13.34,12.86,12.98,376717
18-Aug-14,12.79,13.43,12.44,13.07,483397
15-Aug-14,12.50,13.07,12.23,12.92,1074025
14-Aug-14,13.12,13.30,12.59,12.67,892520
13-Aug-14,13.52,13.57,13.09,13.30,662593
12-Aug-14,13.93,13.99,13.47,13.50,949363
11-Aug-14,14.54,14.64,13.79,13.91,597998
8-Aug-14,14.72,14.95,14.23,14.55,520850
7-Aug-14,14.21,14.98,14.00,14.68,1117358
6-Aug-14,14.02,14.83,13.50,14.15,1064519
5-Aug-14,15.09,15.18,13.86,14.07,1259021
4-Aug-14,15.26,15.81,15.01,15.34,914332
1-Aug-14,15.72,16.10,14.41,15.61,1609226
31-Jul-14,15.47,16.25,15.23,16.12,1828023
30-Jul-14,16.74,18.50,16.35,16.96,2508352
29-Jul-14,14.10,15.20,13.64,15.12,1529448
28-Jul-14,14.75,14.75,13.85,14.09,1265734
25-Jul-14,15.43,15.47,14.67,14.78,705969
24-Jul-14,16.00,16.30,15.45,15.53,626293
23-Jul-14,15.46,15.58,14.91,15.44,843976
22-Jul-14,16.05,17.00,14.76,15.58,1790194
21-Jul-14,16.90,16.98,15.59,15.98,1139625
18-Jul-14,16.41,17.35,16.41,16.92,850217
17-Jul-14,16.55,16.71,16.20,16.41,631653
16-Jul-14,16.10,16.53,15.45,16.48,705802
15-Jul-14,16.97,17.00,15.90,16.09,791560
14-Jul-14,17.26,17.29,16.46,16.89,834867
11-Jul-14,17.21,17.29,16.60,17.02,805611
10-Jul-14,15.89,17.25,15.75,17.01,847955
9-Jul-14,15.71,16.88,15.71,16.57,970504
8-Jul-14,15.52,15.90,15.15,15.71,435639
7-Jul-14,15.42,15.59,15.03,15.42,362148
3-Jul-14,15.40,15.65,15.08,15.51,294333
2-Jul-14,15.14,15.50,14.82,15.29,411163
1-Jul-14,14.82,15.45,14.82,15.01,545571
30-Jun-14,14.40,14.72,13.90,14.65,835367
27-Jun-14,14.54,14.75,14.16,14.48,663013
26-Jun-14,14.98,15.23,14.50,14.66,1043080
25-Jun-14,14.97,15.30,14.46,15.22,635934
24-Jun-14,14.98,15.30,14.25,14.46,769534
23-Jun-14,14.59,15.24,14.00,15.14,1697116
20-Jun-14,12.94,14.52,12.85,14.35,1110466
19-Jun-14,12.47,13.01,12.32,12.77,782546
18-Jun-14,12.62,13.36,12.05,13.13,1952795
17-Jun-14,13.15,13.22,12.20,12.73,1377099
16-Jun-14,13.83,13.98,12.39,12.69,1822737
13-Jun-14,13.64,14.05,13.26,13.82,478845
12-Jun-14,13.91,14.25,13.34,13.69,1004186
11-Jun-14,14.78,15.05,13.79,13.84,1624732
10-Jun-14,15.15,15.33,14.91,15.05,676450
9-Jun-14,14.62,15.10,14.40,15.05,703198
6-Jun-14,14.94,15.12,14.42,14.51,539723
5-Jun-14,14.15,14.93,14.01,14.78,1048480
4-Jun-14,13.77,14.19,13.53,14.18,418364
3-Jun-14,13.43,14.00,13.43,13.77,514205
2-Jun-14,13.48,13.88,13.17,13.54,387641
30-May-14,12.98,13.60,12.97,13.58,871677
29-May-14,12.79,13.19,12.41,13.04,1104962
28-May-14,12.03,12.33,12.00,12.18,637039
27-May-14,12.84,12.90,12.05,12.26,446213
23-May-14,12.77,12.83,12.58,12.64,142100
22-May-14,12.66,12.83,12.41,12.77,190366
21-May-14,12.52,12.97,12.35,12.65,187047
20-May-14,12.42,12.79,12.35,12.60,225477
19-May-14,12.57,12.79,12.43,12.54,228135
16-May-14,12.48,12.65,12.32,12.51,318146
15-May-14,12.55,12.66,12.31,12.36,394484
14-May-14,12.85,13.10,12.66,12.68,605993
13-May-14,13.44,13.67,12.79,12.89,577468
12-May-14,13.79,13.83,13.11,13.24,447478
9-May-14,13.34,13.61,12.96,13.55,387196
8-May-14,14.01,14.25,13.36,13.44,566276
7-May-14,13.48,14.03,13.48,14.00,279599
6-May-14,13.53,13.79,13.40,13.44,210270
5-May-14,13.84,14.12,13.63,13.69,340748
2-May-14,13.54,13.97,13.35,13.86,331287
1-May-14,13.50,13.75,13.41,13.57,165644
30-Apr-14,13.24,13.52,13.08,13.46,330479
29-Apr-14,13.11,13.60,13.00,13.22,305610
28-Apr-14,13.30,13.84,13.08,13.16,374164
25-Apr-14,13.80,13.88,13.11,13.30,560969
24-Apr-14,13.89,14.35,13.64,13.82,779456
23-Apr-14,13.60,14.00,13.60,13.80,511835
22-Apr-14,13.18,14.00,13.10,13.68,511113
21-Apr-14,13.12,13.22,12.93,13.05,306435
17-Apr-14,13.17,13.28,12.85,13.01,188461
16-Apr-14,13.25,13.25,12.54,13.17,259077
15-Apr-14,13.19,13.19,12.40,13.17,717059
14-Apr-14,13.17,13.51,12.88,13.20,465008
11-Apr-14,13.32,13.40,12.85,13.15,438383
10-Apr-14,13.45,13.60,13.27,13.36,336328
9-Apr-14,13.96,13.99,13.40,13.58,836790
8-Apr-14,13.41,13.87,13.24,13.79,661533
7-Apr-14,13.03,13.51,12.85,13.50,610899
4-Apr-14,13.32,13.80,12.95,13.01,653174
3-Apr-14,13.50,13.52,12.92,13.36,958305
2-Apr-14,12.87,13.50,12.85,13.48,620802
1-Apr-14,12.20,12.74,12.19,12.70,617570
31-Mar-14,11.99,12.65,11.99,12.31,479519
28-Mar-14,11.97,12.25,11.85,11.90,597822
27-Mar-14,11.51,11.96,11.49,11.94,540536
26-Mar-14,11.76,11.92,11.39,11.47,602174
25-Mar-14,11.23,11.75,11.23,11.71,693584
24-Mar-14,11.17,11.34,10.96,11.22,450307
21-Mar-14,10.85,11.19,10.81,11.15,417386
20-Mar-14,10.62,10.98,10.50,10.74,348611
19-Mar-14,10.89,11.06,10.44,10.57,281351
18-Mar-14,10.49,10.92,10.45,10.91,649669
17-Mar-14,10.09,10.40,9.97,10.38,229187
14-Mar-14,9.83,10.12,9.75,9.94,349470
13-Mar-14,9.83,9.89,9.42,9.83,180381
12-Mar-14,9.86,10.00,9.51,9.80,215238
11-Mar-14,10.34,10.45,9.87,9.89,192903
10-Mar-14,10.55,10.58,9.99,10.24,338033
7-Mar-14,10.47,10.84,10.42,10.54,352666
6-Mar-14,10.16,10.79,10.16,10.46,545326
5-Mar-14,10.17,10.25,9.91,10.20,190166
4-Mar-14,10.01,10.24,9.86,10.23,219132
3-Mar-14,10.23,10.23,9.89,9.93,179626
28-Feb-14,9.69,10.31,9.69,10.17,600132
27-Feb-14,9.52,9.75,9.41,9.65,203552
26-Feb-14,9.49,9.88,9.33,9.50,169672
25-Feb-14,9.89,9.89,9.40,9.55,164847
24-Feb-14,9.57,9.91,9.30,9.86,382257
21-Feb-14,9.69,9.69,9.42,9.59,320252
20-Feb-14,9.63,9.80,9.30,9.67,410453
19-Feb-14,9.92,9.92,9.42,9.57,262450
18-Feb-14,9.88,10.20,9.48,9.90,582640
14-Feb-14,9.50,10.02,9.23,9.97,1029398
13-Feb-14,8.68,9.15,8.41,9.12,450743
12-Feb-14,8.39,9.02,8.35,8.78,1005194
11-Feb-14,7.82,8.38,7.80,8.31,292054
10-Feb-14,8.03,8.10,7.77,7.80,331915
7-Feb-14,7.74,8.13,7.74,8.00,508086
6-Feb-14,7.54,8.03,7.54,7.66,473012
5-Feb-14,7.57,7.84,7.30,7.50,294491
4-Feb-14,7.50,7.77,7.46,7.59,234072
3-Feb-14,7.92,7.92,7.32,7.49,387413
31-Jan-14,7.85,8.29,7.72,7.95,470757
30-Jan-14,8.30,8.30,7.73,7.97,365809
29-Jan-14,8.36,8.43,8.07,8.21,279674
28-Jan-14,8.76,8.90,8.21,8.51,490906
27-Jan-14,8.15,9.20,7.65,8.78,1079034
24-Jan-14,8.35,8.64,8.02,8.15,694978
23-Jan-14,9.27,9.27,8.25,8.46,1425747
22-Jan-14,9.66,9.70,9.34,9.34,192479
21-Jan-14,9.64,10.21,9.52,9.65,566204
17-Jan-14,9.12,9.48,9.12,9.27,253309
16-Jan-14,9.24,9.35,9.00,9.13,255121
15-Jan-14,9.23,9.39,9.15,9.26,292975
14-Jan-14,9.16,9.40,9.14,9.22,387898
13-Jan-14,9.53,9.67,9.15,9.18,395561
10-Jan-14,9.64,9.82,9.50,9.53,94445
9-Jan-14,9.78,9.80,9.58,9.59,205859
8-Jan-14,9.68,10.04,9.58,9.78,323365
7-Jan-14,9.70,9.88,9.58,9.74,390381
6-Jan-14,9.98,10.12,9.61,9.67,341418
3-Jan-14,10.16,10.16,9.88,9.99,321659
2-Jan-14,10.53,10.53,9.90,10.00,487500
31-Dec-13,10.41,10.61,10.39,10.45,122069
30-Dec-13,10.94,11.10,10.38,10.44,317431
27-Dec-13,10.49,10.91,10.38,10.86,488663
26-Dec-13,10.80,10.96,10.32,10.54,488989
24-Dec-13,11.23,11.25,10.84,10.98,117186
23-Dec-13,10.73,11.24,10.69,11.12,320711
20-Dec-13,11.27,11.40,10.91,10.96,602130
19-Dec-13,11.27,11.99,11.14,11.27,601152
18-Dec-13,11.69,11.94,11.61,11.87,289745
17-Dec-13,11.22,11.99,11.22,11.96,587977
16-Dec-13,11.01,11.66,11.01,11.19,498771
13-Dec-13,11.43,11.59,10.99,11.01,268153
12-Dec-13,11.11,11.42,10.81,11.15,879733
11-Dec-13,11.42,11.56,11.02,11.12,500438
10-Dec-13,11.45,11.55,11.19,11.35,265471
9-Dec-13,11.52,11.70,11.34,11.60,530846
6-Dec-13,11.65,11.70,11.37,11.52,311872
5-Dec-13,11.76,11.90,11.29,11.41,418500
4-Dec-13,11.91,12.00,11.50,11.96,587108
3-Dec-13,12.49,12.49,11.60,12.03,566746
2-Dec-13,12.51,12.85,12.04,12.55,816020
29-Nov-13,12.83,13.05,12.39,12.60,389545
27-Nov-13,12.55,12.95,12.21,12.90,972886
26-Nov-13,11.68,12.86,11.61,12.65,2236274
25-Nov-13,11.20,11.60,11.15,11.48,618958
22-Nov-13,10.40,11.20,10.36,11.14,871293
21-Nov-13,10.44,10.78,10.34,10.40,395138
20-Nov-13,10.21,10.62,10.15,10.39,490484
19-Nov-13,10.18,10.36,9.64,9.70,362052
18-Nov-13,10.54,10.66,10.21,10.33,355936
15-Nov-13,10.51,10.95,10.34,10.48,643200
14-Nov-13,9.74,10.63,9.74,10.42,639147
13-Nov-13,9.50,9.85,9.44,9.76,305947
12-Nov-13,9.77,9.96,9.47,9.53,370796
11-Nov-13,9.52,10.16,9.46,9.72,429454
8-Nov-13,9.72,9.94,9.60,9.67,385334
7-Nov-13,9.96,10.30,9.40,9.46,615105
6-Nov-13,10.41,10.50,9.40,9.58,369979
5-Nov-13,9.51,10.46,9.42,10.23,793973
4-Nov-13,9.44,9.75,9.32,9.46,318977
1-Nov-13,9.60,9.61,9.31,9.42,655061
31-Oct-13,9.66,9.78,9.31,9.68,471736
30-Oct-13,9.65,9.94,9.50,9.68,710851
29-Oct-13,10.31,10.31,9.25,9.59,1477741
28-Oct-13,10.75,10.94,10.28,10.38,490181
25-Oct-13,11.33,11.33,10.72,10.79,592651
24-Oct-13,10.79,11.43,10.43,11.37,1160698
23-Oct-13,11.08,11.40,10.54,10.77,1217457
22-Oct-13,11.48,11.56,10.96,11.17,1172841
21-Oct-13,11.09,11.67,11.09,11.48,930284
18-Oct-13,10.67,11.00,10.44,10.98,772828
17-Oct-13,10.51,10.68,10.40,10.58,704195
16-Oct-13,10.94,10.94,10.18,10.69,1027246
15-Oct-13,11.19,11.49,10.61,10.67,1006238
14-Oct-13,10.66,11.25,10.59,11.17,597580
11-Oct-13,10.58,10.69,10.31,10.68,685226
10-Oct-13,9.98,10.38,9.98,10.36,1162481
9-Oct-13,9.44,9.86,9.36,9.80,473449
