Date,Open,High,Low,Close,Volume
7-Oct-14,17.20,17.20,16.80,16.95,0
6-Oct-14,18.30,18.40,16.50,16.70,1438068
3-Oct-14,17.90,18.50,17.20,18.25,1965870
2-Oct-14,19.00,19.00,17.05,17.90,3998177
1-Oct-14,21.00,21.40,19.50,19.70,1832164
30-Sep-14,21.15,21.30,20.70,21.00,1238210
29-Sep-14,20.65,21.25,20.35,21.25,991657
26-Sep-14,20.50,20.90,20.35,20.70,1200503
25-Sep-14,20.45,20.45,19.95,20.10,717101
24-Sep-14,20.30,20.70,19.85,20.45,1194052
23-Sep-14,21.00,21.00,20.20,20.30,1211783
22-Sep-14,19.80,20.90,19.80,20.65,1627725
19-Sep-14,20.00,20.00,19.50,19.60,1503221
18-Sep-14,20.25,20.25,19.80,20.10,821059
17-Sep-14,19.70,20.25,19.70,20.15,1211064
16-Sep-14,19.50,20.10,19.50,20.00,1236038
15-Sep-14,19.70,19.85,19.15,19.40,968917
12-Sep-14,19.20,19.70,19.00,19.70,1850397
11-Sep-14,18.70,19.05,18.55,18.95,2007705
10-Sep-14,18.00,18.55,18.00,18.55,1332603
9-Sep-14,18.40,18.40,18.00,18.05,710379
8-Sep-14,17.65,18.40,17.65,18.10,1644796
5-Sep-14,16.85,17.85,16.75,17.60,1780294
4-Sep-14,17.30,17.30,16.60,16.75,1846070
3-Sep-14,16.75,17.60,16.75,17.50,2532797
2-Sep-14,16.15,16.60,16.15,16.60,965488
1-Sep-14,16.25,16.25,15.90,16.10,331642
29-Aug-14,16.30,16.50,16.05,16.25,932586
28-Aug-14,16.30,16.40,15.90,16.30,1011526
27-Aug-14,15.70,16.30,15.70,16.20,1556915
26-Aug-14,15.90,16.00,15.60,15.80,1060104
25-Aug-14,16.00,16.25,15.70,15.85,1560903
22-Aug-14,15.00,15.75,15.00,15.70,1726244
21-Aug-14,15.10,15.30,14.90,15.00,1758559
20-Aug-14,14.90,15.00,14.60,15.00,1619393
19-Aug-14,15.25,15.35,15.05,15.10,1161273
15-Aug-14,14.65,15.15,14.35,15.10,2109620
14-Aug-14,15.15,15.15,14.45,14.50,2085273
13-Aug-14,15.10,15.25,15.00,15.25,765694
12-Aug-14,14.85,15.30,14.80,15.10,1308747
11-Aug-14,15.20,15.30,14.85,14.85,831087
8-Aug-14,15.25,15.35,14.90,15.20,1007378
7-Aug-14,14.90,15.45,14.70,15.25,1154886
6-Aug-14,14.70,15.05,14.05,14.65,1569112
5-Aug-14,15.30,15.50,14.50,14.60,1739200
4-Aug-14,15.80,16.20,15.60,15.65,1117531
1-Aug-14,15.80,16.10,14.70,15.80,2343934
31-Jul-14,15.80,16.20,15.60,15.85,3502393
30-Jul-14,16.90,17.20,16.50,17.20,3010349
29-Jul-14,14.10,15.55,13.95,15.55,1691973
