Date,Open,High,Low,Close,Volume
7-Oct-14,4.05,4.05,3.95,4.00,0
6-Oct-14,4.12,4.20,3.90,3.93,146294
3-Oct-14,3.70,4.12,3.70,4.12,218912
2-Oct-14,3.90,3.90,3.48,3.75,279310
1-Oct-14,4.27,4.30,3.85,3.90,345978
30-Sep-14,4.40,4.40,4.10,4.25,584857
29-Sep-14,4.59,4.60,4.35,4.40,353358
26-Sep-14,4.43,4.65,4.43,4.59,330537
25-Sep-14,4.47,4.47,4.39,4.43,165429
24-Sep-14,4.37,4.47,4.36,4.47,343376
23-Sep-14,4.30,4.40,4.29,4.33,224852
22-Sep-14,4.30,4.30,4.17,4.27,208469
19-Sep-14,4.35,4.52,4.25,4.30,416657
18-Sep-14,3.92,4.29,3.92,4.28,623941
17-Sep-14,3.72,3.97,3.72,3.92,428719
16-Sep-14,3.60,3.80,3.59,3.73,368474
15-Sep-14,3.48,3.55,3.48,3.55,168867
12-Sep-14,3.44,3.52,3.41,3.48,311976
11-Sep-14,3.50,3.50,3.40,3.44,315793
10-Sep-14,3.55,3.55,3.44,3.47,73415
9-Sep-14,3.56,3.56,3.43,3.53,194776
8-Sep-14,3.50,3.56,3.48,3.52,329638
5-Sep-14,3.30,3.43,3.30,3.43,362217
4-Sep-14,3.30,3.33,3.25,3.30,343081
3-Sep-14,3.32,3.39,3.28,3.35,277503
2-Sep-14,3.19,3.28,3.14,3.27,277860
1-Sep-14,3.03,3.15,3.03,3.15,119109
29-Aug-14,3.14,3.16,3.04,3.07,149631
28-Aug-14,3.20,3.20,3.07,3.14,365373
27-Aug-14,3.23,3.28,3.02,3.19,431025
26-Aug-14,3.13,3.23,3.08,3.22,578801
25-Aug-14,3.06,3.14,3.06,3.13,378448
22-Aug-14,2.95,3.07,2.91,3.06,300697
21-Aug-14,2.80,2.91,2.76,2.91,200109
20-Aug-14,2.61,2.77,2.61,2.75,167094
19-Aug-14,2.69,2.69,2.65,2.68,257797
15-Aug-14,2.62,2.65,2.61,2.65,91953
14-Aug-14,2.65,2.65,2.61,2.61,35940
13-Aug-14,2.65,2.70,2.63,2.70,42622
12-Aug-14,2.65,2.68,2.65,2.65,36617
11-Aug-14,2.70,2.70,2.65,2.65,27760
8-Aug-14,2.69,2.69,2.65,2.66,31220
7-Aug-14,2.73,2.75,2.69,2.69,51210
6-Aug-14,2.69,2.75,2.69,2.70,57810
5-Aug-14,2.79,2.79,2.65,2.69,33975
4-Aug-14,2.72,2.80,2.65,2.75,143003
1-Aug-14,2.65,2.66,2.56,2.66,58065
31-Jul-14,2.57,2.68,2.57,2.64,98310
30-Jul-14,2.95,2.97,2.85,2.85,98875
29-Jul-14,2.55,2.75,2.55,2.75,351484
28-Jul-14,2.62,2.62,2.45,2.55,197890
25-Jul-14,2.67,2.70,2.60,2.60,40912
24-Jul-14,2.72,2.76,2.70,2.70,31176
23-Jul-14,2.70,2.75,2.68,2.70,196906
22-Jul-14,2.85,2.85,2.75,2.79,83378
21-Jul-14,2.87,2.90,2.82,2.82,41390
18-Jul-14,2.95,2.96,2.91,2.94,73211
17-Jul-14,2.90,2.94,2.88,2.88,58338
16-Jul-14,2.98,2.98,2.91,2.97,18643
15-Jul-14,2.98,2.98,2.90,2.98,19582
14-Jul-14,3.00,3.10,2.95,2.99,88783
11-Jul-14,3.00,3.09,2.93,3.03,197773
10-Jul-14,3.00,3.10,2.97,2.97,71415
8-Jul-14,2.92,3.05,2.92,3.05,324859
7-Jul-14,2.80,2.95,2.70,2.94,155407
4-Jul-14,2.80,2.80,2.80,2.80,9302
3-Jul-14,2.90,2.95,2.80,2.80,121923
2-Jul-14,2.85,2.95,2.83,2.89,110653
1-Jul-14,2.75,2.80,2.75,2.80,64536
30-Jun-14,2.75,2.75,2.68,2.74,81860
27-Jun-14,2.74,2.74,2.56,2.72,88849
26-Jun-14,2.80,2.82,2.70,2.70,82114
25-Jun-14,2.76,2.84,2.75,2.84,44009
24-Jun-14,2.82,2.86,2.76,2.76,40569
23-Jun-14,2.80,2.88,2.75,2.84,128876
19-Jun-14,2.55,2.65,2.55,2.62,63077
18-Jun-14,2.63,2.75,2.45,2.70,330833
17-Jun-14,2.50,2.73,2.50,2.61,378171
16-Jun-14,2.98,2.98,2.66,2.66,389240
13-Jun-14,3.04,3.16,3.04,3.12,347562
12-Jun-14,2.90,3.09,2.90,3.03,377560
11-Jun-14,2.83,2.90,2.78,2.85,45058
10-Jun-14,2.92,3.00,2.85,2.85,203060
9-Jun-14,3.00,3.03,2.90,2.90,245379
6-Jun-14,2.93,3.00,2.90,2.98,111607
5-Jun-14,2.85,2.93,2.84,2.93,98398
4-Jun-14,2.90,2.96,2.82,2.90,100345
3-Jun-14,2.95,3.00,2.95,2.96,44929
2-Jun-14,3.02,3.02,2.95,2.99,90683
30-May-14,3.00,3.10,2.97,3.00,202229
29-May-14,2.86,3.07,2.84,2.95,413167
28-May-14,2.91,2.96,2.75,2.84,229992
27-May-14,3.01,3.20,2.75,2.90,991054
26-May-14,2.68,2.96,2.67,2.96,620050
23-May-14,2.35,2.76,2.35,2.67,1151659
22-May-14,2.26,2.33,2.21,2.32,423761
21-May-14,2.25,2.28,2.25,2.25,98725
20-May-14,2.30,2.35,2.26,2.28,268922
19-May-14,2.25,2.28,2.22,2.26,128421
16-May-14,2.24,2.26,2.22,2.25,111347
15-May-14,2.30,2.30,2.23,2.28,66446
14-May-14,2.25,2.30,2.23,2.30,155474
13-May-14,2.27,2.27,2.24,2.27,58976
12-May-14,2.30,2.30,2.23,2.28,93472
9-May-14,2.35,2.35,2.30,2.30,43211
8-May-14,2.36,2.39,2.25,2.35,146395
7-May-14,2.39,2.39,2.34,2.34,22450
6-May-14,2.42,2.42,2.37,2.39,55985
5-May-14,2.42,2.43,2.36,2.39,50409
30-Apr-14,2.40,2.40,2.36,2.40,35051
