Date,Open,High,Low,Close,Volume
15-Oct-14,9834.54,9834.59,9658.02,9834.59,-
14-Oct-14,10223.47,10223.47,9979.90,10075.01,-
10-Oct-14,10364.11,10364.11,9992.75,10220.32,-
9-Oct-14,10939.73,10940.88,10299.96,10361.81,-
8-Oct-14,11082.46,11113.49,10896.21,10939.73,-
7-Oct-14,11096.43,11275.98,11073.66,11082.46,-
6-Oct-14,11736.33,11918.38,11094.09,11094.09,-
3-Oct-14,10864.16,11614.96,10732.91,11586.34,-
2-Oct-14,11691.28,11691.28,10540.97,10864.51,-
1-Oct-14,12745.14,12745.14,11690.47,11693.90,-
30-Sep-14,12847.46,12847.46,12673.84,12745.11,-
29-Sep-14,12759.90,12846.01,12615.36,12846.01,-
26-Sep-14,12351.31,12767.79,12351.31,12762.79,-
25-Sep-14,12390.01,12450.19,12221.93,12345.16,-
24-Sep-14,12157.04,12393.57,12029.31,12390.01,-
23-Sep-14,12172.02,12270.86,12037.95,12152.12,-
22-Sep-14,11673.56,12164.71,11660.39,12164.71,-
19-Sep-14,11615.02,11688.06,11580.55,11655.89,-
18-Sep-14,11569.59,11627.16,11450.59,11615.02,-
17-Sep-14,11518.63,11592.20,11427.73,11589.43,-
16-Sep-14,11036.76,11538.15,11036.76,11515.50,-
15-Sep-14,11127.22,11286.68,10969.78,11036.23,-
12-Sep-14,11040.91,11149.22,11027.10,11125.95,-
11-Sep-14,10808.91,11037.93,10808.91,11025.33,-
10-Sep-14,10784.48,10823.55,10741.48,10805.47,-
9-Sep-14,10717.01,10780.85,10654.15,10729.31,-
8-Sep-14,10461.17,10778.45,10461.17,10712.59,-
5-Sep-14,10096.60,10486.07,10096.60,10457.82,-
4-Sep-14,10448.72,10448.72,10075.84,10097.49,-
3-Sep-14,10137.69,10463.36,10137.69,10448.17,-
2-Sep-14,9944.38,10136.22,9944.38,10136.22,-
1-Sep-14,9797.71,9951.30,9758.34,9943.32,-
29-Aug-14,9787.35,9902.13,9774.90,9799.53,-
28-Aug-14,9760.28,9827.37,9612.92,9786.19,-
27-Aug-14,9487.85,9831.07,9487.85,9755.82,-
26-Aug-14,9359.35,9505.78,9339.62,9486.67,-
25-Aug-14,9154.87,9384.24,9154.87,9355.44,-
22-Aug-14,8979.58,9154.81,8964.65,9154.81,-
21-Aug-14,8898.55,8974.61,8883.39,8974.61,-
20-Aug-14,8823.74,8898.55,8658.83,8898.55,-
19-Aug-14,8667.74,8854.78,8667.74,8824.72,-
15-Aug-14,8385.95,8677.68,8385.95,8667.08,-
14-Aug-14,8541.60,8546.21,8376.91,8385.95,-
13-Aug-14,8473.91,8598.91,8471.69,8543.39,-
12-Aug-14,8251.18,8473.91,8229.68,8473.91,-
11-Aug-14,8265.56,8325.70,8244.85,8251.75,-
8-Aug-14,8292.53,8316.14,8215.17,8277.55,-
7-Aug-14,8171.43,8338.46,8171.43,8292.53,-
6-Aug-14,8115.18,8285.91,8071.89,8168.08,-
5-Aug-14,8359.54,8359.54,8053.76,8095.47,-
4-Aug-14,8368.78,8472.71,8313.48,8359.54,-
1-Aug-14,8226.64,8384.22,7933.61,8368.78,-
31-Jul-14,8871.81,8871.81,8213.92,8224.96,-
30-Jul-14,8389.59,8995.10,8389.59,8978.46,-
29-Jul-14,7864.98,8384.68,7815.90,8384.68,-
28-Jul-14,7953.64,7953.64,7676.75,7864.98,-
25-Jul-14,8277.12,8277.12,7923.41,7959.40,-
24-Jul-14,8189.81,8456.32,8189.46,8277.68,-
23-Jul-14,8298.66,8298.66,8137.77,8189.35,-
22-Jul-14,8512.19,8548.55,8186.48,8375.39,-
21-Jul-14,8714.42,8714.42,8406.41,8471.18,-
18-Jul-14,8411.88,8765.73,8411.88,8714.42,-
17-Jul-14,8599.87,8602.19,8391.35,8395.10,-
16-Jul-14,8685.09,8685.09,8574.71,8612.22,-
15-Jul-14,8897.52,8897.52,8684.70,8684.70,-
14-Jul-14,8894.76,8925.40,8759.58,8895.78,-
11-Jul-14,8780.34,8904.72,8756.82,8891.65,-
10-Jul-14,8407.27,8808.76,8392.59,8779.58,-
8-Jul-14,8229.69,8420.89,8229.69,8406.56,-
7-Jul-14,8212.45,8243.71,8143.95,8227.56,-
4-Jul-14,8231.36,8234.71,8101.48,8211.24,-
3-Jul-14,8246.62,8306.33,8194.90,8220.43,-
2-Jul-14,8147.32,8254.97,8147.32,8242.78,-
1-Jul-14,7982.93,8197.37,7982.93,8141.98,-
30-Jun-14,7966.48,8014.93,7833.62,7950.78,-
27-Jun-14,7878.59,7969.97,7648.88,7962.97,-
26-Jun-14,8053.69,8053.69,7762.56,7879.99,-
25-Jun-14,7989.62,8106.08,7954.07,8052.32,-
24-Jun-14,8054.35,8147.03,7937.04,7979.89,-
23-Jun-14,7432.07,8058.58,7432.07,8051.41,-
19-Jun-14,7760.51,7760.91,7386.06,7394.84,-
18-Jun-14,7549.08,7794.84,7270.23,7783.96,-
17-Jun-14,7298.52,7648.95,7043.25,7548.69,-
16-Jun-14,8147.11,8147.11,7290.65,7300.29,-
13-Jun-14,8172.72,8259.75,8148.40,8164.61,-
12-Jun-14,8169.92,8226.57,8134.83,8172.72,-
11-Jun-14,8252.65,8322.04,8139.62,8170.27,-
10-Jun-14,8405.53,8547.87,8216.48,8242.36,-
9-Jun-14,8043.21,8405.53,8043.21,8405.53,-
6-Jun-14,7950.54,8043.67,7950.54,8041.71,-
5-Jun-14,7810.73,7947.60,7810.73,7947.60,-
4-Jun-14,7843.00,7876.61,7768.72,7810.30,-
3-Jun-14,7840.96,7923.21,7837.71,7842.11,-
2-Jun-14,7872.92,7887.81,7688.19,7830.00,-
30-May-14,7952.15,7997.23,7764.86,7871.73,-
29-May-14,7795.14,7994.35,7795.14,7951.28,-
28-May-14,7687.71,7841.37,7687.71,7794.45,-
27-May-14,7636.71,7707.70,7574.39,7679.42,-
26-May-14,7525.61,7638.07,7525.61,7636.71,-
23-May-14,7457.30,7523.95,7392.02,7523.95,-
22-May-14,7306.52,7464.79,7302.76,7452.20,-
21-May-14,7224.71,7356.29,7169.27,7294.81,-
20-May-14,7156.55,7332.95,7143.13,7224.32,-
19-May-14,6893.07,7162.15,6880.49,7159.22,-
16-May-14,6800.60,6899.23,6776.92,6888.10,-
15-May-14,6882.91,6882.91,6730.14,6788.73,-
14-May-14,6857.66,6902.24,6834.86,6900.27,-
13-May-14,6835.54,6933.35,6835.51,6857.66,-
12-May-14,6840.38,6905.82,6809.84,6833.92,-
9-May-14,6820.22,6847.70,6778.24,6837.73,-
8-May-14,6920.08,6950.32,6810.86,6820.11,-
7-May-14,6836.15,6937.97,6836.15,6920.08,-
6-May-14,6904.12,6922.66,6819.14,6832.91,-
5-May-14,6794.45,6916.07,6794.45,6897.17,-
30-Apr-14,6834.34,6835.03,6726.75,6792.83,-
29-Apr-14,6806.93,6939.64,6800.93,6833.47,-
28-Apr-14,6588.41,6806.93,6588.41,6806.93,-
25-Apr-14,6730.85,6730.85,6551.67,6580.19,-
24-Apr-14,6722.75,6836.45,6705.97,6734.30,-
23-Apr-14,6612.48,6734.30,6612.48,6720.13,-
22-Apr-14,6454.94,6612.54,6454.94,6612.48,-
21-Apr-14,6452.62,6473.33,6382.49,6452.59,-
16-Apr-14,6326.94,6450.51,6323.48,6450.51,-
15-Apr-14,6411.10,6439.18,6247.85,6327.31,-
14-Apr-14,6492.23,6539.69,6393.28,6409.11,-
11-Apr-14,6520.39,6524.93,6412.67,6483.14,-
10-Apr-14,6477.62,6549.78,6469.32,6516.68,-
9-Apr-14,6465.70,6477.97,6405.63,6471.47,-
8-Apr-14,6411.89,6465.51,6396.98,6465.51,-
7-Apr-14,6349.62,6404.80,6330.94,6404.24,-
4-Apr-14,6458.20,6473.56,6336.23,6349.62,-
3-Apr-14,6399.92,6528.92,6399.92,6450.53,-
1-Apr-14,6325.77,6393.54,6314.71,6392.96,-
31-Mar-14,6151.69,6325.36,6151.69,6325.36,-
28-Mar-14,6167.65,6198.43,6014.32,6151.27,-
27-Mar-14,6099.49,6230.89,6099.49,6153.74,0
26-Mar-14,6148.55,6199.83,6086.89,6097.92,0
25-Mar-14,6051.56,6144.22,6051.56,6142.88,0
21-Mar-14,5936.41,6051.56,5936.41,6051.56,0
20-Mar-14,5829.31,5975.36,5829.31,5930.63,0
19-Mar-14,5854.26,5879.03,5802.49,5829.31,0
18-Mar-14,5746.43,5854.26,5746.43,5854.26,0
17-Mar-14,5741.77,5800.21,5719.31,5746.43,0
14-Mar-14,5642.38,5731.18,5642.38,5731.18,0
13-Mar-14,5700.15,5739.85,5637.64,5641.69,0
12-Mar-14,5724.48,5725.69,5671.99,5696.64,0
11-Mar-14,5747.60,5774.70,5701.09,5723.55,0
10-Mar-14,5850.94,5856.98,5743.57,5764.25,0
7-Mar-14,5877.65,5913.65,5849.93,5851.63,0
6-Mar-14,5722.53,5889.48,5719.57,5875.77,0
5-Mar-14,5760.15,5810.20,5704.69,5724.29,0
28-Feb-14,5744.07,5821.47,5744.07,5762.08,0
27-Feb-14,5798.71,5801.20,5743.26,5743.26,0
26-Feb-14,5823.58,5858.85,5788.64,5796.62,0
25-Feb-14,5952.65,5976.33,5820.24,5823.58,0
24-Feb-14,5897.22,5977.05,5897.22,5952.76,0
21-Feb-14,5944.59,5997.65,5891.25,5897.22,0
20-Feb-14,5929.07,5989.51,5929.07,5945.66,0
19-Feb-14,6053.24,6053.24,5901.20,5929.25,0
18-Feb-14,6114.24,6154.54,6004.66,6053.24,0
17-Feb-14,6026.23,6114.19,6026.23,6114.19,0
