Date,Open,High,Low,Close,Volume
15-Oct-14,200.00,201.00,198.00,201.00,1629
14-Oct-14,200.00,204.00,200.00,204.00,2457
10-Oct-14,206.00,206.00,202.50,202.50,452
9-Oct-14,209.00,209.00,202.00,204.70,2731
8-Oct-14,213.00,213.00,210.00,212.00,1686
7-Oct-14,213.60,215.00,210.00,213.00,2073
6-Oct-14,224.00,224.00,209.90,213.60,2255
3-Oct-14,200.10,218.00,200.10,218.00,4939
2-Oct-14,212.00,212.10,200.00,206.85,8794
1-Oct-14,233.00,233.00,217.00,219.00,11832
30-Sep-14,234.25,238.00,232.00,233.00,3401
29-Sep-14,235.00,255.00,235.00,239.00,26453
26-Sep-14,200.00,234.90,199.50,234.90,28672
25-Sep-14,198.00,201.00,193.00,199.50,5703
24-Sep-14,204.20,204.20,196.00,199.50,6570
23-Sep-14,203.00,204.50,201.90,204.00,11340
22-Sep-14,197.50,201.95,196.10,201.90,3241
19-Sep-14,196.00,197.80,196.00,197.40,2668
18-Sep-14,196.00,198.00,195.50,196.00,2226
17-Sep-14,190.00,195.90,190.00,195.50,4182
16-Sep-14,190.00,193.00,188.05,190.80,7540
15-Sep-14,200.00,200.00,188.50,189.10,7025
12-Sep-14,202.00,204.00,199.00,200.00,5101
11-Sep-14,191.00,203.00,189.00,201.00,9396
10-Sep-14,194.00,194.00,190.00,190.80,1637
9-Sep-14,197.00,197.00,193.00,194.00,3091
8-Sep-14,199.00,200.50,196.00,196.90,4241
5-Sep-14,190.00,198.00,190.00,198.00,6662
4-Sep-14,194.00,194.00,189.00,191.50,7087
3-Sep-14,201.00,209.00,195.00,195.00,11187
2-Sep-14,188.50,202.00,188.50,199.00,23507
1-Sep-14,174.75,187.80,174.75,187.80,16291
29-Aug-14,166.00,175.00,166.00,174.40,12620
28-Aug-14,166.50,166.50,164.00,166.00,1560
27-Aug-14,166.00,167.00,164.00,165.10,4465
26-Aug-14,163.00,166.00,158.00,164.00,3344
25-Aug-14,161.10,163.50,159.00,163.00,3950
22-Aug-14,152.50,161.00,152.50,161.00,4999
21-Aug-14,153.00,153.00,151.10,151.15,4323
20-Aug-14,151.00,153.50,149.00,153.50,2994
19-Aug-14,150.00,152.20,148.50,152.00,4769
15-Aug-14,151.75,151.75,147.00,149.90,4247
14-Aug-14,153.00,153.00,149.00,152.00,4270
13-Aug-14,155.00,155.00,152.50,152.50,2286
12-Aug-14,155.00,156.00,153.05,155.00,3675
11-Aug-14,151.00,157.00,151.00,153.95,3030
8-Aug-14,159.00,160.00,157.00,159.50,689
7-Aug-14,158.00,161.00,157.00,159.90,4707
6-Aug-14,153.00,156.00,153.00,155.00,1653
5-Aug-14,159.00,159.00,150.00,155.50,2610
4-Aug-14,161.00,161.00,159.00,159.00,950
1-Aug-14,155.00,162.00,151.00,162.00,1258
31-Jul-14,154.00,157.50,153.60,156.00,5616
30-Jul-14,165.00,169.00,162.00,169.00,9443
29-Jul-14,154.70,161.00,151.00,161.00,3762
28-Jul-14,150.00,156.00,150.00,156.00,4180
25-Jul-14,156.00,158.00,153.20,156.80,2950
24-Jul-14,158.00,162.95,156.85,162.95,3209
23-Jul-14,160.00,160.00,155.25,157.50,1111
22-Jul-14,163.20,163.20,155.00,163.20,3706
21-Jul-14,165.00,165.00,162.05,164.90,232
18-Jul-14,165.00,170.00,165.00,167.00,694
17-Jul-14,165.00,167.00,164.05,166.00,297
16-Jul-14,165.00,168.00,165.00,168.00,1535
15-Jul-14,173.00,173.00,166.00,168.00,2409
14-Jul-14,174.00,175.50,170.00,173.00,2437
11-Jul-14,165.00,174.95,164.00,174.95,7997
10-Jul-14,160.00,163.00,160.00,163.00,4142
8-Jul-14,156.00,159.80,156.00,159.80,6182
7-Jul-14,159.00,159.00,156.00,158.00,1303
4-Jul-14,160.00,160.00,157.00,157.50,1752
3-Jul-14,160.05,161.00,160.00,160.80,309
2-Jul-14,163.00,163.00,160.20,162.00,1552
1-Jul-14,161.00,162.50,161.00,162.50,1619
30-Jun-14,161.00,161.00,158.00,160.00,393
27-Jun-14,155.00,161.00,154.50,161.00,1422
26-Jun-14,162.50,163.80,157.00,163.00,6909
25-Jun-14,162.90,165.90,162.50,164.95,8393
24-Jun-14,158.00,163.50,158.00,162.90,7907
23-Jun-14,155.00,158.50,154.00,157.00,8577
19-Jun-14,145.00,150.00,145.00,150.00,3214
18-Jun-14,147.00,153.50,144.00,153.00,4527
17-Jun-14,143.00,149.00,139.00,149.00,12296
16-Jun-14,154.00,155.00,146.00,146.00,5294
13-Jun-14,162.00,164.90,161.00,161.90,1539
12-Jun-14,160.00,163.00,159.10,162.75,1599
11-Jun-14,160.00,162.00,158.50,161.45,5542
10-Jun-14,167.00,167.00,161.50,162.50,4129
9-Jun-14,168.00,168.00,165.50,167.00,2457
6-Jun-14,166.00,167.95,165.00,167.95,11375
5-Jun-14,164.00,166.50,163.00,166.00,6621
4-Jun-14,159.00,162.90,159.00,162.10,12552
3-Jun-14,163.00,163.00,158.50,160.00,5601
2-Jun-14,157.00,160.50,154.20,160.50,6943
30-May-14,160.00,160.00,156.00,156.00,9051
29-May-14,164.50,166.00,160.00,161.00,11153
28-May-14,156.40,164.50,156.40,163.90,14454
27-May-14,153.00,157.00,153.00,155.30,14376
26-May-14,150.00,155.00,150.00,153.00,9099
23-May-14,147.50,150.50,146.00,150.00,9980
22-May-14,140.00,147.50,140.00,147.50,7603
21-May-14,137.00,141.80,136.50,141.50,7426
20-May-14,135.45,136.85,134.00,136.85,10098
19-May-14,134.30,135.80,134.00,135.50,1746
16-May-14,135.00,135.80,133.00,135.80,2434
15-May-14,134.00,134.50,132.00,134.50,2425
14-May-14,135.00,136.00,133.50,136.00,4438
13-May-14,136.50,136.80,134.50,135.50,4986
12-May-14,136.00,137.50,135.00,136.45,5437
9-May-14,137.00,137.00,134.50,135.00,937
8-May-14,137.00,137.70,135.00,136.80,1339
7-May-14,136.00,137.00,134.00,137.00,3029
6-May-14,136.50,137.00,133.00,136.00,9827
5-May-14,142.50,142.50,136.00,136.50,5453
30-Apr-14,140.00,143.50,139.90,143.00,4430
29-Apr-14,142.00,142.50,138.00,139.90,3920
28-Apr-14,143.00,145.00,141.00,142.00,1893
25-Apr-14,144.80,144.80,142.00,144.80,1907
24-Apr-14,143.90,145.70,143.50,145.00,6504
23-Apr-14,138.50,144.00,138.50,143.90,13316
22-Apr-14,138.50,138.50,137.00,138.50,4551
21-Apr-14,139.00,139.00,136.00,137.95,1828
16-Apr-14,138.50,141.00,138.50,139.00,3338
15-Apr-14,139.00,139.00,136.00,138.50,2095
14-Apr-14,138.50,139.95,138.10,139.90,4706
11-Apr-14,136.50,139.50,136.50,139.50,8076
10-Apr-14,136.80,137.40,133.00,136.90,4920
9-Apr-14,136.00,136.80,133.00,136.80,5606
8-Apr-14,138.50,140.00,137.00,137.90,2902
7-Apr-14,140.80,141.00,139.00,139.00,1895
4-Apr-14,141.00,141.00,138.50,140.80,5361
3-Apr-14,140.00,142.80,139.00,140.50,6755
1-Apr-14,133.50,139.80,132.50,139.50,13661
31-Mar-14,128.90,133.40,128.00,133.40,6313
28-Mar-14,129.00,129.70,125.00,128.90,4044
27-Mar-14,133.00,133.00,131.00,131.50,2382
26-Mar-14,136.00,136.00,133.15,133.15,1927
25-Mar-14,135.50,135.80,133.50,135.80,5176
21-Mar-14,134.50,135.95,134.00,135.70,8044
20-Mar-14,132.00,133.90,131.00,133.90,6573
