Date,Open,High,Low,Close,Volume
7-Oct-14,5.59,5.65,5.57,5.63,0
6-Oct-14,6.20,6.20,5.58,5.63,2037040
3-Oct-14,5.39,5.99,5.39,5.93,1245078
2-Oct-14,5.70,5.70,5.30,5.47,5669676
1-Oct-14,6.45,6.45,5.81,5.82,2732715
30-Sep-14,6.50,6.50,6.25,6.41,1753478
29-Sep-14,6.30,6.50,6.20,6.50,2231926
26-Sep-14,6.19,6.29,6.05,6.27,2973845
25-Sep-14,6.20,6.20,5.93,6.04,2645393
24-Sep-14,6.13,6.15,5.91,6.14,3522907
23-Sep-14,6.04,6.14,5.90,6.13,1658139
22-Sep-14,5.85,6.00,5.68,6.00,1111858
19-Sep-14,5.65,5.68,5.62,5.68,1087930
18-Sep-14,5.71,5.73,5.50,5.65,1101530
17-Sep-14,5.75,5.85,5.68,5.72,2199758
16-Sep-14,5.59,5.90,5.50,5.77,1774060
15-Sep-14,5.60,5.72,5.50,5.50,1634624
12-Sep-14,5.39,5.59,5.39,5.59,1888708
11-Sep-14,5.30,5.41,5.22,5.40,1380964
10-Sep-14,5.37,5.40,5.25,5.30,1235582
9-Sep-14,5.25,5.39,5.18,5.32,1989267
8-Sep-14,4.94,5.24,4.94,5.24,1710358
5-Sep-14,4.88,4.99,4.69,4.94,1785617
4-Sep-14,4.90,4.90,4.68,4.69,1006288
3-Sep-14,4.62,4.88,4.62,4.86,2455334
2-Sep-14,4.63,4.69,4.57,4.58,2393429
1-Sep-14,4.56,4.65,4.50,4.58,922263
29-Aug-14,4.49,4.54,4.44,4.53,1516127
28-Aug-14,4.55,4.60,4.44,4.49,990265
27-Aug-14,4.52,4.75,4.49,4.55,1953583
26-Aug-14,4.49,4.53,4.36,4.45,902359
25-Aug-14,4.55,4.58,4.50,4.52,1009053
22-Aug-14,4.42,4.54,4.41,4.52,2388054
21-Aug-14,4.47,4.47,4.38,4.38,942741
20-Aug-14,4.47,4.48,4.35,4.48,1197310
19-Aug-14,4.50,4.54,4.48,4.51,993714
15-Aug-14,4.25,4.39,4.23,4.37,2124172
14-Aug-14,4.33,4.34,4.22,4.22,3130399
13-Aug-14,4.40,4.43,4.31,4.34,1398996
12-Aug-14,4.28,4.41,4.26,4.39,1272066
11-Aug-14,4.38,4.42,4.30,4.32,734866
8-Aug-14,4.38,4.41,4.30,4.38,1663949
7-Aug-14,4.28,4.42,4.24,4.35,1517322
6-Aug-14,4.10,4.28,4.10,4.20,1880414
5-Aug-14,4.28,4.29,4.10,4.10,2101254
4-Aug-14,4.18,4.32,4.10,4.31,3052725
1-Aug-14,4.05,4.30,3.90,4.15,5248098
31-Jul-14,4.01,4.21,4.00,4.06,3705601
30-Jul-14,4.38,4.56,4.36,4.55,4399635
29-Jul-14,3.61,4.02,3.61,4.02,1546421
28-Jul-14,3.67,3.72,3.59,3.66,2625262
25-Jul-14,3.92,3.92,3.71,3.71,2583998
24-Jul-14,4.03,4.10,3.91,3.91,1914658
23-Jul-14,4.07,4.07,3.91,3.91,1818740
22-Jul-14,4.13,4.15,3.85,4.11,2315775
21-Jul-14,4.20,4.20,4.06,4.09,2031300
18-Jul-14,4.15,4.34,4.15,4.24,1758982
17-Jul-14,4.23,4.26,4.00,4.00,1470603
16-Jul-14,4.40,4.44,4.21,4.25,2442981
15-Jul-14,4.50,4.56,4.39,4.40,1937826
14-Jul-14,4.58,4.58,4.40,4.50,2018425
11-Jul-14,4.49,4.62,4.44,4.59,5625834
10-Jul-14,4.24,4.53,4.24,4.49,2601575
8-Jul-14,4.02,4.19,4.02,4.19,2610480
7-Jul-14,4.06,4.08,3.97,3.99,1664679
4-Jul-14,4.07,4.07,3.95,4.03,992275
3-Jul-14,4.15,4.18,4.05,4.07,1795473
2-Jul-14,4.05,4.15,4.05,4.13,2738568
1-Jul-14,4.00,4.10,3.98,4.04,3207333
30-Jun-14,3.98,3.98,3.83,3.93,1538097
27-Jun-14,3.82,3.90,3.73,3.89,2328856
26-Jun-14,3.89,3.94,3.73,3.84,2773315
25-Jun-14,3.87,3.96,3.87,3.90,1258642
24-Jun-14,4.07,4.10,3.86,3.89,2384994
23-Jun-14,4.12,4.12,3.85,4.00,5475233
19-Jun-14,3.51,3.79,3.51,3.67,4705270
18-Jun-14,3.70,3.88,3.50,3.81,5649907
17-Jun-14,3.40,3.82,3.32,3.74,5948603
16-Jun-14,3.58,3.70,3.50,3.56,5696069
13-Jun-14,3.81,3.98,3.80,3.97,1668109
12-Jun-14,3.94,3.98,3.88,3.89,1304872
11-Jun-14,3.95,4.02,3.88,3.94,3446667
10-Jun-14,2.50,4.32,3.88,3.88,6516393
9-Jun-14,4.05,4.14,3.99,4.12,2766495
6-Jun-14,3.98,3.98,3.90,3.96,1700484
5-Jun-14,3.80,3.89,3.79,3.88,2850398
4-Jun-14,3.85,3.85,3.72,3.75,735116
3-Jun-14,3.85,3.89,3.82,3.82,1073747
2-Jun-14,3.94,3.94,3.70,3.84,3838911
30-May-14,3.93,3.94,3.79,3.89,4023519
29-May-14,3.81,3.94,3.78,3.92,3972367
28-May-14,3.65,3.82,3.65,3.75,3920466
27-May-14,3.53,3.63,3.52,3.58,3172997
26-May-14,3.40,3.50,3.40,3.47,2289421
23-May-14,3.47,3.47,3.30,3.40,2825037
22-May-14,3.49,3.49,3.37,3.44,5411166
21-May-14,3.01,3.33,3.01,3.29,7399612
20-May-14,3.02,3.11,3.00,3.00,1775391
19-May-14,2.90,3.04,2.90,3.01,1759380
16-May-14,2.92,2.93,2.82,2.90,1946821
15-May-14,2.96,2.97,2.89,2.90,1633325
14-May-14,3.00,3.04,2.97,3.02,2824841
13-May-14,2.95,3.05,2.93,3.02,2558278
12-May-14,2.93,2.96,2.88,2.90,1723105
9-May-14,2.83,2.93,2.75,2.93,1659827
8-May-14,2.91,2.96,2.80,2.80,1565200
7-May-14,2.99,2.99,2.90,2.91,2292565
6-May-14,3.06,3.07,2.97,2.97,2082525
