Date,Open,High,Low,Close,Volume
7-Oct-14,16.25,17.06,16.01,16.87,0
6-Oct-14,16.24,16.34,15.60,15.80,97638359
3-Oct-14,13.49,14.17,13.23,13.97,40177717
2-Oct-14,13.51,13.71,13.01,13.39,48877356
1-Oct-14,13.63,13.92,13.21,13.30,69082853
30-Sep-14,14.09,14.40,13.74,14.19,55081949
29-Sep-14,14.64,14.89,14.53,14.70,56200074
26-Sep-14,15.69,16.63,15.59,16.46,29728785
25-Sep-14,15.75,15.88,15.48,15.56,23609845
24-Sep-14,15.84,16.25,15.54,16.03,25698577
23-Sep-14,16.10,16.55,15.67,15.92,32178122
22-Sep-14,15.83,16.20,15.66,16.11,40386787
19-Sep-14,17.08,17.15,16.54,16.78,25334553
18-Sep-14,17.46,17.63,16.97,17.09,31174303
17-Sep-14,18.08,18.09,17.52,17.61,33131119
16-Sep-14,17.19,18.09,17.13,17.51,53258635
15-Sep-14,16.34,16.74,16.28,16.54,31166930
12-Sep-14,16.97,17.18,16.11,16.38,53077869
11-Sep-14,17.62,17.97,17.35,17.63,33389337
10-Sep-14,17.56,17.82,17.06,17.38,35542302
9-Sep-14,18.36,18.56,17.63,17.83,35616653
8-Sep-14,19.84,19.85,18.18,18.35,61194571
5-Sep-14,19.53,19.84,19.04,19.38,32754308
4-Sep-14,19.68,20.30,19.31,19.33,37845233
3-Sep-14,20.83,20.94,19.96,20.29,38636601
2-Sep-14,19.80,20.87,19.52,20.65,49083756
29-Aug-14,19.49,19.74,19.00,19.57,40683924
28-Aug-14,19.13,19.48,18.93,19.12,29716132
27-Aug-14,18.50,19.32,18.29,19.21,37132040
26-Aug-14,18.56,18.60,18.02,18.23,30494677
25-Aug-14,17.57,18.12,17.45,18.08,27012328
22-Aug-14,17.52,17.54,17.08,17.20,19794034
21-Aug-14,17.88,17.89,17.53,17.73,18787704
20-Aug-14,17.36,17.85,17.34,17.68,26720190
19-Aug-14,16.84,17.47,16.82,17.46,24599974
18-Aug-14,17.00,17.01,16.45,16.86,27672845
15-Aug-14,15.86,16.55,15.84,16.51,30850781
14-Aug-14,15.56,15.73,15.24,15.46,22654387
13-Aug-14,16.34,16.43,15.23,15.46,62840505
12-Aug-14,16.38,16.58,16.13,16.18,12867645
11-Aug-14,16.07,16.48,15.94,16.46,17463635
8-Aug-14,15.92,15.99,15.70,15.94,19291874
7-Aug-14,16.85,16.90,16.10,16.36,18162000
6-Aug-14,16.16,16.76,16.03,16.59,17739956
5-Aug-14,16.00,16.50,15.87,16.08,21045859
4-Aug-14,15.88,16.11,15.66,16.09,11658958
1-Aug-14,15.95,16.03,15.52,15.82,17677744
31-Jul-14,16.11,16.32,15.77,15.94,24199249
30-Jul-14,16.60,16.79,16.39,16.58,15083456
29-Jul-14,16.86,17.18,16.47,16.59,18772478
28-Jul-14,17.12,17.19,16.87,17.03,10037525
25-Jul-14,17.06,17.33,17.03,17.19,12025665
24-Jul-14,17.14,17.16,16.81,17.07,20306881
23-Jul-14,17.17,17.37,16.93,17.15,26178156
22-Jul-14,17.64,17.70,17.27,17.62,27201411
21-Jul-14,17.16,17.55,16.86,17.42,29754308
18-Jul-14,16.82,17.23,16.66,17.08,46360985
17-Jul-14,15.98,16.43,15.77,16.03,30600323
16-Jul-14,16.00,16.06,15.76,16.00,20430518
15-Jul-14,16.11,16.11,15.63,15.84,31940586
14-Jul-14,15.55,16.04,15.52,15.88,42565008
11-Jul-14,15.10,15.36,14.88,15.19,16135002
10-Jul-14,14.82,15.26,14.67,15.20,18335372
9-Jul-14,14.59,15.24,14.50,14.98,27803018
8-Jul-14,14.55,14.56,14.38,14.47,9399040
7-Jul-14,14.61,14.63,14.33,14.45,11475199
3-Jul-14,14.36,14.55,14.25,14.49,12192749
2-Jul-14,14.54,14.62,14.28,14.44,14356248
1-Jul-14,14.70,14.81,14.36,14.57,12649744
30-Jun-14,14.80,14.80,14.45,14.63,13256607
27-Jun-14,14.75,14.84,14.51,14.63,12076395
26-Jun-14,14.80,14.84,14.43,14.80,15754436
25-Jun-14,14.91,15.16,14.64,14.74,31146598
24-Jun-14,15.61,15.98,14.86,14.98,27849225
23-Jun-14,15.74,15.74,15.52,15.63,10205038
20-Jun-14,15.70,15.95,15.66,15.76,16547592
19-Jun-14,15.79,15.89,15.51,15.69,11639534
18-Jun-14,15.33,15.96,15.27,15.94,17952159
17-Jun-14,15.56,15.81,15.15,15.52,17035497
16-Jun-14,15.88,15.98,15.68,15.80,19839517
13-Jun-14,15.66,15.92,15.47,15.87,16537061
12-Jun-14,15.61,15.83,15.43,15.48,12504018
11-Jun-14,15.47,15.79,15.31,15.66,26094822
10-Jun-14,15.07,15.34,14.88,15.30,14670420
9-Jun-14,14.79,15.28,14.59,15.14,21430068
6-Jun-14,14.48,14.77,14.32,14.76,29967246
5-Jun-14,13.87,13.90,13.62,13.71,11808805
4-Jun-14,13.99,14.01,13.66,13.72,13519923
3-Jun-14,13.81,14.11,13.73,13.99,11243595
2-Jun-14,13.98,14.00,13.66,13.85,18686831
30-May-14,14.40,14.42,14.09,14.10,26332709
29-May-14,14.86,14.94,14.56,14.58,13247669
28-May-14,14.64,14.87,14.42,14.78,18006512
27-May-14,15.11,15.15,14.57,14.62,13564585
23-May-14,14.93,15.15,14.84,14.91,11238676
22-May-14,15.09,15.22,14.73,14.91,18278959
21-May-14,14.62,15.14,14.62,14.98,19674829
20-May-14,15.17,15.56,14.58,14.73,28839735
19-May-14,15.16,15.28,14.98,15.21,13949497
16-May-14,15.49,15.50,15.12,15.28,13966292
15-May-14,15.49,15.58,15.20,15.27,16359007
14-May-14,15.40,15.66,15.24,15.59,15522798
13-May-14,15.39,15.70,15.29,15.42,14614846
12-May-14,15.19,15.41,15.14,15.36,12125804
9-May-14,15.11,15.43,15.00,15.10,20662311
8-May-14,15.81,15.85,14.99,15.18,26377722
7-May-14,15.32,15.80,15.03,15.66,40701278
6-May-14,14.52,15.49,14.50,15.30,40311989
5-May-14,14.56,14.78,14.38,14.56,20861628
2-May-14,14.12,14.70,14.05,14.61,31987186
1-May-14,13.84,13.93,13.64,13.76,11297770
30-Apr-14,14.03,14.14,13.85,13.88,20156470
29-Apr-14,14.06,14.58,14.05,14.14,26731326
28-Apr-14,13.41,14.03,13.24,13.97,30493752
25-Apr-14,13.59,13.61,13.22,13.50,21047321
24-Apr-14,13.83,13.85,13.52,13.73,17974401
23-Apr-14,13.53,13.70,13.38,13.64,19151867
22-Apr-14,13.88,13.99,13.49,13.60,28733896
21-Apr-14,14.12,14.15,13.70,13.97,13325314
17-Apr-14,13.41,14.22,13.24,14.01,34116471
16-Apr-14,13.41,13.63,13.21,13.49,17659898
15-Apr-14,13.89,13.90,12.98,13.33,39955937
14-Apr-14,14.10,14.16,13.77,13.88,19291131
11-Apr-14,13.48,14.09,13.47,14.03,23144852
10-Apr-14,13.94,14.00,13.66,13.70,20793470
9-Apr-14,13.65,14.03,13.43,13.83,36376512
8-Apr-14,14.67,14.87,13.70,13.92,57558678
