Date,Open,High,Low,Close,Volume
7-Oct-14,300.00,310.00,298.75,300.00,0
6-Oct-14,316.00,320.00,296.00,299.00,94726
3-Oct-14,301.00,316.00,290.00,314.00,194911
2-Oct-14,309.00,310.00,292.00,301.50,188833
1-Oct-14,344.00,344.00,312.00,316.00,93807
30-Sep-14,335.00,347.00,335.00,346.10,68025
29-Sep-14,342.00,342.00,336.70,338.50,54324
26-Sep-14,334.00,342.00,334.00,341.00,71091
25-Sep-14,334.75,334.75,326.00,334.00,80278
24-Sep-14,328.00,334.75,319.00,334.50,79522
23-Sep-14,339.90,339.90,326.50,327.00,61850
22-Sep-14,325.00,335.00,323.50,335.00,116701
19-Sep-14,321.00,325.00,320.00,324.00,103012
18-Sep-14,313.40,320.00,313.00,319.00,154432
17-Sep-14,310.35,315.50,310.35,313.50,165945
16-Sep-14,305.80,314.50,305.00,311.00,115882
15-Sep-14,304.00,306.75,302.00,305.90,141626
12-Sep-14,302.00,305.00,300.00,303.50,92093
11-Sep-14,300.00,306.00,298.50,303.00,179782
10-Sep-14,300.00,300.00,293.00,295.75,190695
9-Sep-14,297.00,301.00,295.00,296.50,246997
8-Sep-14,295.00,298.00,294.00,296.00,141944
5-Sep-14,282.25,294.00,282.25,293.00,220942
4-Sep-14,287.90,287.90,276.05,282.25,223814
3-Sep-14,290.00,291.50,287.00,288.00,436575
2-Sep-14,286.50,291.65,286.50,289.00,215204
1-Sep-14,284.00,285.50,280.50,283.95,35257
29-Aug-14,285.50,288.30,283.50,284.00,170651
28-Aug-14,290.00,290.00,280.05,284.20,77050
27-Aug-14,281.00,291.50,281.00,290.00,132211
26-Aug-14,273.90,282.00,271.10,281.75,72042
25-Aug-14,265.20,274.95,265.20,274.00,148666
22-Aug-14,269.00,269.00,264.00,264.50,93062
21-Aug-14,264.00,270.00,262.00,270.00,138326
20-Aug-14,254.00,263.50,254.00,263.50,128947
19-Aug-14,253.00,254.50,251.00,254.50,67460
15-Aug-14,250.25,253.00,249.25,252.60,207477
14-Aug-14,246.15,249.00,246.15,248.60,217664
13-Aug-14,245.00,248.50,243.50,247.50,176655
12-Aug-14,232.00,243.50,231.00,243.00,218974
11-Aug-14,227.65,232.00,225.50,232.00,73719
8-Aug-14,224.00,227.65,222.50,227.65,111839
7-Aug-14,223.95,223.95,218.50,222.00,96410
6-Aug-14,226.00,226.00,221.50,224.00,86218
5-Aug-14,222.00,225.75,222.00,224.25,205800
4-Aug-14,221.90,225.00,221.00,224.90,71446
1-Aug-14,216.25,221.90,216.25,221.90,76832
31-Jul-14,218.00,221.00,213.75,215.00,84802
30-Jul-14,227.90,227.90,223.00,227.00,90195
29-Jul-14,226.00,230.00,224.25,229.00,132118
28-Jul-14,218.00,225.00,217.00,223.90,143162
25-Jul-14,222.00,222.00,218.50,219.50,132147
24-Jul-14,225.00,225.00,221.00,221.50,43839
23-Jul-14,225.00,225.00,222.50,223.85,88084
22-Jul-14,222.25,226.00,222.00,225.00,82691
21-Jul-14,223.00,223.00,220.70,222.00,61615
18-Jul-14,226.00,228.00,223.50,225.00,79485
17-Jul-14,228.00,229.50,225.00,225.00,50631
16-Jul-14,231.95,232.25,229.00,230.00,78775
15-Jul-14,230.50,230.50,225.50,228.50,82688
14-Jul-14,235.00,235.00,226.70,230.50,174868
11-Jul-14,231.50,237.50,228.00,236.00,165408
10-Jul-14,233.90,234.00,229.60,231.30,220954
8-Jul-14,239.00,239.00,237.15,238.00,91299
7-Jul-14,244.20,244.20,240.00,242.00,35993
4-Jul-14,243.00,244.10,241.00,244.10,15654
3-Jul-14,239.00,242.70,239.00,241.25,35314
2-Jul-14,237.50,239.50,237.50,238.00,25745
1-Jul-14,241.00,242.00,236.00,237.50,38211
30-Jun-14,240.50,242.00,237.25,238.50,34033
27-Jun-14,235.00,242.00,233.00,242.00,33296
26-Jun-14,235.00,236.00,230.00,234.40,67352
25-Jun-14,235.00,237.00,233.50,234.00,51771
24-Jun-14,237.80,238.00,234.00,235.00,48767
23-Jun-14,238.95,241.00,231.05,234.70,181162
19-Jun-14,245.00,247.00,240.00,240.00,86902
18-Jun-14,248.00,254.00,245.00,245.00,187392
17-Jun-14,236.00,251.90,235.00,248.00,236993
16-Jun-14,238.00,243.50,235.00,238.00,161144
13-Jun-14,245.00,245.00,238.75,240.00,39805
12-Jun-14,242.00,245.00,241.00,243.25,50550
11-Jun-14,243.00,245.00,239.00,241.00,95732
10-Jun-14,250.00,252.00,240.00,240.00,73639
9-Jun-14,245.50,250.50,245.00,250.50,60553
6-Jun-14,241.00,244.50,240.25,244.00,44528
5-Jun-14,237.00,241.00,237.00,241.00,65552
4-Jun-14,238.00,240.00,236.70,237.00,60427
3-Jun-14,240.90,244.00,239.00,240.00,72942
2-Jun-14,244.00,244.00,238.00,240.90,54158
30-May-14,248.10,249.00,241.00,244.00,78553
29-May-14,249.00,251.50,243.00,248.10,66224
