Date,Open,High,Low,Close,Volume
15-Oct-14,399.00,401.00,380.00,400.00,209176
14-Oct-14,413.90,414.00,399.00,406.00,181851
10-Oct-14,424.90,424.90,405.50,417.00,254043
9-Oct-14,460.00,460.00,423.00,425.35,224976
8-Oct-14,469.90,469.90,452.50,457.00,213548
7-Oct-14,479.50,479.50,459.00,462.00,150043
6-Oct-14,518.60,520.00,477.00,477.00,134275
3-Oct-14,470.00,509.00,468.00,506.00,169204
2-Oct-14,490.00,490.00,460.00,467.50,199096
1-Oct-14,558.00,558.00,503.00,503.00,146927
30-Sep-14,551.00,561.00,548.00,558.00,106101
29-Sep-14,546.00,552.00,540.00,551.00,108439
26-Sep-14,534.00,546.00,532.00,545.50,91438
25-Sep-14,543.00,543.00,523.00,528.60,122994
24-Sep-14,534.00,536.50,519.00,536.50,147842
23-Sep-14,534.00,534.00,523.00,532.00,129255
22-Sep-14,511.00,534.00,508.00,533.00,86655
19-Sep-14,504.00,511.00,502.00,509.00,98057
18-Sep-14,510.00,510.00,496.00,503.50,84979
17-Sep-14,500.00,505.50,493.00,504.00,149327
16-Sep-14,480.00,504.90,480.00,504.00,105108
15-Sep-14,480.00,494.00,471.00,476.10,164922
12-Sep-14,474.00,480.00,473.50,476.00,100137
11-Sep-14,468.00,476.95,464.00,473.00,108297
10-Sep-14,466.50,468.50,459.00,468.00,76940
9-Sep-14,460.00,464.75,453.00,461.50,89574
8-Sep-14,456.50,465.00,455.00,458.25,106153
5-Sep-14,440.85,457.00,435.00,452.00,99485
4-Sep-14,456.00,456.00,439.40,441.00,106354
3-Sep-14,450.00,463.00,448.55,460.50,130803
2-Sep-14,439.50,439.50,430.00,438.50,90973
1-Sep-14,422.10,435.00,422.10,432.00,55173
29-Aug-14,433.00,435.00,421.50,422.00,124617
28-Aug-14,438.00,438.00,427.00,428.95,83490
27-Aug-14,424.00,440.00,423.00,430.50,112327
26-Aug-14,418.90,425.00,413.00,421.00,75078
25-Aug-14,400.00,412.00,400.00,412.00,114915
22-Aug-14,394.00,398.00,390.50,398.00,90796
21-Aug-14,392.00,394.00,387.00,393.00,91278
20-Aug-14,387.00,392.00,376.00,389.90,97471
19-Aug-14,386.50,393.50,386.00,387.75,98246
15-Aug-14,369.00,378.50,364.00,376.00,189713
14-Aug-14,359.50,364.00,356.50,357.00,105493
13-Aug-14,356.00,366.00,356.00,360.00,68921
12-Aug-14,346.90,357.00,346.90,356.00,75976
11-Aug-14,350.00,353.50,346.90,347.50,75764
8-Aug-14,351.00,354.80,346.00,350.00,77677
7-Aug-14,355.00,362.50,345.50,351.90,78903
6-Aug-14,350.00,364.00,348.00,352.00,91045
5-Aug-14,348.45,352.75,344.00,346.00,82590
4-Aug-14,358.00,368.00,350.00,352.75,82377
1-Aug-14,357.00,363.00,333.00,358.00,183614
31-Jul-14,367.00,374.00,353.00,353.00,212096
30-Jul-14,385.00,399.90,385.00,392.00,172792
29-Jul-14,345.00,370.00,342.00,369.00,136951
28-Jul-14,345.00,349.80,335.00,346.00,90939
25-Jul-14,361.00,361.00,346.00,349.50,122357
24-Jul-14,364.00,370.00,360.00,364.20,77281
23-Jul-14,362.90,362.90,352.25,355.00,99650
22-Jul-14,365.00,370.50,355.00,364.00,250874
21-Jul-14,368.00,368.00,363.50,365.00,79660
18-Jul-14,363.50,379.00,363.50,373.50,99155
17-Jul-14,364.95,366.50,359.00,360.00,88507
16-Jul-14,371.00,371.00,361.00,366.50,116049
15-Jul-14,375.00,375.00,368.00,370.40,71843
14-Jul-14,377.00,378.00,370.50,378.00,76379
11-Jul-14,375.00,380.00,372.25,377.00,115228
10-Jul-14,366.00,377.50,364.00,376.50,140317
8-Jul-14,348.00,362.00,348.00,356.75,89346
7-Jul-14,344.00,346.00,339.50,344.80,51057
4-Jul-14,345.00,345.75,340.80,345.45,16223
3-Jul-14,347.00,348.00,343.60,345.90,65760
2-Jul-14,343.50,347.90,340.00,347.00,62146
1-Jul-14,340.00,348.00,337.50,340.00,65118
30-Jun-14,341.00,341.00,329.30,333.00,98865
27-Jun-14,338.00,340.00,330.00,338.80,122268
26-Jun-14,350.00,350.00,340.00,341.00,128873
25-Jun-14,350.00,357.00,344.05,351.50,86774
24-Jun-14,356.00,358.00,350.00,351.05,108123
23-Jun-14,350.00,358.65,340.00,357.00,279461
19-Jun-14,315.50,329.00,315.50,326.00,244493
18-Jun-14,319.00,340.00,307.50,338.00,265600
17-Jun-14,301.00,327.00,298.00,320.50,231412
16-Jun-14,320.00,326.00,302.00,303.00,281190
13-Jun-14,350.00,352.90,345.00,346.50,69638
12-Jun-14,354.00,354.50,349.10,350.00,70686
11-Jun-14,350.00,359.00,350.00,353.90,104572
10-Jun-14,338.00,354.00,338.00,350.00,136735
9-Jun-14,328.00,340.00,326.25,340.00,84111
6-Jun-14,329.50,329.50,322.20,325.30,37579
5-Jun-14,331.90,331.90,325.10,325.50,63680
4-Jun-14,331.00,333.00,328.25,329.10,97586
3-Jun-14,333.00,333.00,322.50,327.00,155169
2-Jun-14,327.00,333.00,320.50,333.00,91945
30-May-14,332.00,332.00,324.00,324.60,98894
29-May-14,339.00,340.00,332.00,333.00,107907
28-May-14,327.30,336.00,327.30,333.00,62966
27-May-14,333.10,334.00,327.00,327.90,125123
26-May-14,326.00,333.50,325.00,333.10,45617
23-May-14,320.00,326.00,318.50,326.00,119385
22-May-14,320.00,320.00,313.15,316.00,103581
21-May-14,322.00,323.00,310.00,312.00,116827
20-May-14,319.00,326.00,317.50,321.50,114802
19-May-14,304.00,320.00,302.60,319.80,107608
16-May-14,305.00,307.00,302.05,304.00,68951
15-May-14,303.90,307.00,298.20,307.00,75993
14-May-14,301.00,306.00,300.00,305.50,43727
13-May-14,306.00,306.00,298.00,301.00,52854
12-May-14,303.00,306.50,299.00,306.00,50336
9-May-14,301.00,307.50,295.00,303.00,80549
8-May-14,299.00,307.00,296.90,306.00,88806
7-May-14,291.00,300.00,287.75,299.00,147367
6-May-14,285.00,285.00,276.50,278.00,70346
5-May-14,285.00,291.00,285.00,289.30,28288
30-Apr-14,287.00,288.50,282.75,284.20,60491
29-Apr-14,283.00,287.95,281.50,286.50,39674
28-Apr-14,282.00,282.05,275.00,280.25,84028
25-Apr-14,291.10,291.10,277.00,277.00,162880
24-Apr-14,290.00,292.00,287.00,290.25,56765
23-Apr-14,293.80,295.50,290.00,290.00,89976
22-Apr-14,287.00,298.00,287.00,294.00,61981
21-Apr-14,293.00,293.00,284.00,286.50,40264
16-Apr-14,281.00,292.00,280.50,292.00,69968
15-Apr-14,285.00,285.50,278.00,281.60,42879
14-Apr-14,288.00,289.00,284.05,284.80,36726
11-Apr-14,290.00,290.00,281.00,286.50,66714
10-Apr-14,294.90,294.90,291.00,291.00,55053
9-Apr-14,296.00,299.00,292.00,295.25,85271
8-Apr-14,299.00,302.00,290.50,294.25,106459
7-Apr-14,298.50,302.50,295.00,297.00,46698
4-Apr-14,308.90,308.90,293.50,299.50,124523
3-Apr-14,312.10,315.00,305.00,308.75,77021
